1	Qui amáns egens ingressus est princeps in Amoris vias,
2	superávit aerumnis suis aerumnas Herculi.
3	nam cúm leone, cum éxcetra, cum cérvo, cum apro Aetólico,
4	cum avibús Stymphalicís, cum Antaeo déluctari mávelim,
5	quam cúm Amore: ita fio miser quaerendo argento mutuo,
6	nec quicquam nisi non est sciunt mihi respondere quos rogo.
7	Qui eró suo servíre volt bene sérvos servitútem,
8	ne illum edepol multa in pectore suo conlocare oportet,
9	quae eró placere cénseat praesénti atque apsentí suo.
10	ego neque lubenter servio neque satis sum ero ex sententia,
11	sed quasi lippo oculo me érus meus manum apstinere hau quit tamen,
12	quin mi imperet, quin me suis negotiis praefulciat.
13	Quís illic est qui cóntra me astat?
13b	Quís hic est qui sic cóntra me astat?
14	Similis est Sagaristionis.
14b	Toxilus híc quidem meus amicust.
15	Ís est profecto.
15b	Eum esse opinor.
15c	Congrediar.
15d	Contra adgredibor.
16	O Sagaristio, di ament te.
16b	O Toxilé, dabunt di quae exoptes.
17	út vales?
17b	Út queo.
17c	Quíd agitur?
17d	Vívitur.
18	Sátin ergo ex sententia?
18b	Si eveniunt quae exopto, satis.
19	Nimis stúlte amicis utere.
19b	Quid iam?
19c	Imperare oportet.
20	Mihi quidem tu iám eras mortuos, quia non te visitabam.
21	Negotium edepol—
21b	Ferreum fortasse?
21c	Plusculum annum
22	fui praéferratus apud molas tribunus vapularis.
23	Vetus iam ístaec militiast tua.
23b	Satin tu úsque valuisti?
23c	Hau probe.
24	Ergo edepol palles.
24b	Saucius factus sum in Veneris proelio:
25	sagittá Cupido cor meum transfixit.
25b	Iam servi hic amant?
26	Quíd ego faciam? disne advorser? quasi Titani cum eis belligerem
27	quibus sat esse non queam?
28	Vide modo, ulmeae catapultae tuom ne transfigant latus.
29	Básilice ágito eleútheria.
29a	Quíd iam?
29b	Quia erus peregri est.
29c	Ain tu,
30	péregri est?
30b	Si tu tibi bene esse
30a	póte pati, veni: víves mecum,
31	básilico accipiere victu.
32	Váh, iam scapulae pruriunt, quia te ístaec audivi loqui.
33	Sed hoc me únum excruciat.
33b	Quidnam id est?
34	Haéc dies summa hódie est, mea amíca sitne líbera,
34a	an sémpiternam sérvitutem sérviat.
34b	Quid núnc vis ergo?
35	Fácere ami cum tibi me potis es sempiternum.
35b	Quem ad modum?
36	Út mihi des nummos sescentos, quós pro capite illius pendam,
37	quós continuo tibi reponam in hoc tríduo, aut quadriduo.
38	age fí benignus, subveni.
39	Qua cónfidentia rogare tu á med argentum tantum audes,
40	ímpudens? quin si egomet totus véneam, vix recipi potis est
41	quód tu me rogas; nam tú aquam a púmice nunc póstulas,
42	qui ípsus sitiat.
42b	Sicine hoc te mihi fácere?
42c	Quid faciam?
42d	Rogas?
43	alicúnde exora mutuom.
43b	Tu fác idem quod rogas me.
44	Quaesivi, nusquam repperi.
44b	Quaeram equidem, si quis credat.
45	Nempe habeo in mundo.
