1.1	0	Lysander	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Lysander	nsubj	3
1.1	1	Lacedaemonius	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Lacedaemonius	amod	0
1.1	2	magnam	ADJ	adjective	Case=Acc|Gender=Fem|Number=Sing	magnus	amod	5
1.1	3	reliquit	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Perf|VerbForm=Fin|Voice=Act	relinquo	ROOT	3
1.1	4	sui	PRON	pronoun	Case=Gen|Person=3	sui	nmod	5
1.1	5	famam	NOUN	noun	Case=Acc|Gender=Fem|Number=Sing	fama	obj	3
1.1	6	,	PUNCT	punc		,	punct	11
1.1	7	magis	ADV	adverb		magis	advmod	11
1.1	8	felicitate	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	felicitas	nsubj:pass	11
1.1	9	quam	SCONJ	conjunction		quam	mark	10
1.1	10	virtute	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	uirtus	advcl:cmp	11
1.1	11	partam	VERB	verb	Case=Acc|Gender=Fem|Number=Sing|VerbForm=Part|Voice=Pass	pario	dep	5
1.1	12	:	PUNCT	punc		:	punct	3
1.1	13	Athenienses	ADJ	adjective	Case=Nom|Gender=Masc|Number=Plur	atheniensis	nsubj	18
1.1	14	enim	PART	conjunction		enim	discourse	18
1.1	15	adversus	ADP	preposition		aduersus	case	16
1.1	16	Peloponnesios	ADJ	proper_noun	Case=Acc|Gender=Masc|Number=Plur	Peloponnesii	obl	18
1.1	17	bellum	NOUN	noun	Case=Acc|Gender=Neut|Number=Sing	bellum	obj	18
1.1	18	gerentes	VERB	verb	Case=Nom|Gender=Masc|Number=Plur|VerbForm=Part|Voice=Act	gero	ROOT	18
1.2	0	 	ADV	verb		 	mark	6
1.2	1	sexto	ADJ	adjective	Case=Abl|Gender=Masc|Number=Sing	sextus	amod	4
1.2	2	et	CCONJ	conjunction		et	cc	3
1.2	3	vicesimo	ADJ	adjective	Case=Abl|Gender=Masc|Number=Sing	uicesimus	conj	1
1.2	4	anno	NOUN	noun	Case=Abl|Gender=Masc|Number=Sing	annus	obl	6
