1	Salvere iubeo spectatores optumos,
2	fidem qui facitis maxumi, et vos Fides.
3	si verum dixi, signum clarum date mihi,
4	ut vos mi esse aequos iam inde a principio sciam.
5	qui utuntur vino vetere sapientis puto
6	et qui libenter veteres spectant fabulas;
7	atque antiqua opera et verba cum vobis placent,
8	aequom est placere ante alias veteres fabulas:
9	nam nunc novae quae prodeunt comoediae
10	multo sunt nequiores quam nummi novi.
11	nos postquam populi rumore intelleximus
12	studiose expetere vos Plautinas fabulas,
13	antiquam éius edimus comoediam,
14	quam vos probastis qui estis in senioribus;
15	nam iuniorum qui sunt non norunt, scio;
16	verum ut cognoscant dabimus operam sedulo.
17	haec cum primum acta est, vicit omnis fabulas.
18	ea tempestate flos poetarum fuit,
19	qui nunc abierunt hinc in communem locum.
20	sed tamen absentes prosunt pro praesentibus.
21	vos omnes opere magno esse oratos volo,
22	benigne ut operam detis ad nostrum gregem.
23	eicite ex animo curam atque alienum aes 
24	ne quis formidet flagitatorem suom:
25	ludi sunt, ludus datus est argentariis;
26	tranquillum est, Alcedonia sunt circum forum:
27	ratione utuntur, ludis poscunt neminem,
28	secundum ludos reddunt autem nemini.
29	aures vocivae si sunt, animum advortite:
30	comoediai nomen dare vobis volo.
31	Clerumenoe vocatur haec comoedia
32	graece, latine Sortientes. Deiphilus
33	hanc graece scripsit, post id rursum denuo
34	latine Plautus cum latranti nomine.
35	senex híc maritus habitat; éi est filius,
36	is una cum patre in illisce habitat aedibus.
37	est éi quidam servos, qui in morbo cubat,
38	immo hercle vero in lecto, ne quid mentiar;
39	is servos, sed abhinc annos factum est sedecim,
40	quom conspicatust primulo crepusculo
41	puellam exponi. adít extemplo ad mulierem
42	quae illam exponebat, orat ut eam det sibi:
43	exorat, aufert; detulit recta domum,
44	dat erae suae, orat ut eam curet, educet.
45	era fecit, educavit magna industria,
46	quasi si esset ex se nata, non multo secus.
47	postquam ea adolevit ad eam aetatem, ut viris
48	placere posset, eam puellam hic senex
49	amat efflictim, et item contra filius.
50	nunc sibi utérque contra legiones parat,
51	paterque filiusque, clam alter alterum:
52	pater adlegavit vilicum, qui posceret
53	sibi istánc uxorem: is sperat, si ei sit data,
54	sibi fore paratas clam uxorem excubias foris;
55	filius is autem armigerum adlegavit suom,
56	qui sibi eam uxorem poscat: scit, si id impetret,
57	futurum quod amat intra praesepis suas.
58	senis uxor sensit virum amóri operam dare,
59	propterea úna consentit cum filio.
60	ille autem postquam filium sensit suom
61	eandem illam amare et esse ímpedimento sibi,
62	hinc adulescentem peregre ablegavit pater;
63	sciens ei mater dat operam absenti tamen.
64	is, ne exspectetis, hodie in hac comoedia
65	in urbem non redibit: Plautus noluit,
66	pontem interrupit, quí erat ei in itinere.
67	sunt hic, inter se quos nunc credo dicere:
68	“quaeso hercle, quíd istuc est? serviles nuptiae?
69	servin uxorem ducent aut poscent sibi?
70	novom attulerunt, quod fit nusquam gentium.”
71	at ego aio id fieri in Graecia et Carthagini,
72	et hic in nostra terra † in Apulia;
73	maioreque opere ibi serviles nuptiae
74	quam liberales etiam curari solent;
75	id ni fit, mecum pignus si quis volt dato
76	in urnam mulsi, Poenus dum iudex siet
77	vel Graecus adeo, vel mea causa Apulus.
78	quid nunc? nihil agitis? sentio, nemo sitit.
79	revortar ád illam puellam éxpositiciam:
80	quam servi summa vi sibi uxorem expetunt,
