a	PRO M. SCAVRO ORATIO maxime fuit optandum M. Scauro, iudices, ut nullo suscepto cuiusquam odio sine offensione ac molestia retineret, id quod praecipue semper studuit, generis, familiae, nominis dignitatem maxime ... retineret August. : id quod ... dignitatem Arusian. : conexuit Beier . 
c	subiit subit Σ : corr. Mai etiam populi iudicium inquirente anquirente Mommsen Cn. Domitio tribuno plebis. 
d	reus est factus a Q. Servilio Caepione lege Servilia, cum iudicia penes equestrem ordinem essent et P. Rutilio damnato nemo tam innocens videretur ut non timeret timeret P : timere SM illa. 
e	ab eodem etiam lege Varia custos ille rei publicae proditionis est in crimen vocatus castos Σ : corr. Ϛ ; vexatus a Q. Vario tribuno r#l##ip. Σ : corr. ed. Iunt. plebis est. 
f	non enim tantum admiratus sum ego illum virum, sicut omnes, sed etiam praecipue dilexi. primus enim me flagrantem studio laudis in spem impulit intulit S virtutem sine Σ : corr. Mommsen posse virtute me sine praesidio fortunae, quo contendissem contendisset Manutius , labore et constantia pervenire. 
g	et quoniam congesta fuit accusatio magis acervo quodam criminum, non distinctione aliqua generum et varietate. 
h	Bostarem igitur quendam dixit Norensem fugientem e Sardinia Scauri adventum prius illum sepultum quam huic cenam esse sublatam. 
i	si denique in illa bona invadere nullo modo potuisset nisi mortuo Bostare. 
k	si me hercule, iudices, pro L. Tubulo dicerem, quem unum ex ex Lodoicus : et Σ omni memoria sceleratissimum et audacissimum et audacissimum om. S fuisse accepimus, tamen non timerem, venenum hospiti aut convivae si diceretur cenanti ab illo datum cui neque heres neque iratus fuisset. 
m	bona quam .... quam A : suppl. Beier quod habebat ve niret veniret Mai : .. niret A . agedum ego defendi Scau ru m, Triari; defende tu matrem. 
n	te m etue r e n e non te . etue . e . non A : suppl. Beier solvendo fuisse, bona denique reus n e r e tinere vol uis se q u ae proscripta esse nt , nis i reus ... nisi suppl. Beier . 
o	cum dare nollet Aris, clam ex Sardinia est fugere conatus. 
p	redimunt ( castores ) se ea parte corporis, propter quam maxime expetuntur. 
1q	sic , inquam, se, iudices, res habet; neque hoc a me novum disputatur, sed quaesitum ab aliis est. 
1r	illa illa suppl. Manutius audivimus audivimus S : audimus P M , hoc vero meminimus ac paene vidimus, eiusdem stirpis et nominis P. Crassum ne in manus incideret inimicorum, se ipsum interemisse. 
2s	ac neque illius Crassi factum superioris factum neque super. Σ : corr. Poggius isdem honoribus usus, qui fortissimus in bellis fuisset, M'. Aquilius M'. Manutius : M. Σ potuit imitari 
2	-tis suae rerumque gestarum senectutis dedecore foedavit. quid vero? alterum Crassum temporibus isdem num num T : nam Σ aut tis suae T : sed memoriam iuventu- post imitari suppl. Beier clarissimi viri Iulii aut summo imperio imperio T : ingenio Asconius praeditus M. Antonius potuit imitari Quid vero? ... potuit imitari hab. Asconius ( p. 24. 21) ? 
3	quid ? in omnibus monumentis Graeciae, quae sunt verbis ornatiora quam rebus, quis invenitur, cum ab Aiace fabulisque discesseris, qui tamen ipse ignominiae dolore, ut ait poeta, victor insolens se victum non potuit pati, praeter Atheniensem Themistoclem, qui se ipse morte multavit? 
4	at Graeculi quidem multa fingunt, apud quos etiam Cleombrotum Ambraciotam Theombrotum Ambrociotam T : corr. Peyron ferunt se ex altissimo praecipitasse muro, non quo quo T : quod Peyron acerbitatis accepisset aliquid, sed, ut video scriptum apud Graecos, cum summi philosophi Platonis graviter et ornate scriptum librum de morte legisset, in quo, ut opinor, Socrates illo ipso die quo erat ei moriendum permulta disputat, hanc esse mortem quam nos vitam putaremus, cum corpore corpori T : corr. Beier animus tamquam carcere saeptus teneretur, vitam autem esse eam cum idem animus vinclis corporis liberatus in eum se locum unde esset ortus rettulisset. 
5	num igitur ista tua Sarda Pythagoram aut Platonem norat aut legerat? qui tamen ipsi mortem ita laudant ut fugere vitam vetent atque id contra foedus fieri dicant legemque naturae. Aliam quidem causam mortis voluntariae nullam profecto iustam reperietis. atque hoc ille vidit; nam iecit iecit Beier : legit T quodam loco vita illam mulierem spoliari quam pudicitia maluisse. 
6	sed refugit statim nec de pudicitia plura dixit veritus, credo, ne quem inridendi nobis daret et iocandi locum. constat enim illam cum cum sup. lin. hab. T deformitate summa fuisse, tum etiam senectute. qua re quae potest, quamvis salsa ista Sarda fuerit, ulla libidinis aut amoris esse suspicio? 
7	ac ne existimes, Triari, quod adferam, in dicendo me fingere ipsum et non a reo causam cognoscere, explicabo tibi quae fuerint opiniones in Sardinia de istius mulieris morte—nam fuerunt duae—quo etiam facilius 
8	te dixi, libidinosam atque improbam matrem infami ac noto adulterio iam diu diligebat. is cum hanc suam uxorem anum et locupletem et molestam timeret, neque eam habere in matrimonio propter foeditatem neque dimittere propter dotem volebat. itaque compecto cum matre Bostaris consilium cepit ut uterque Romam veniret; ibi se aliquam rationem inventurum quem ad modum illam uxorem duceret co nfir mavit co ... mavit A : suppl. Peyron . 
9	hic opinio fuit, ut dixi, duplex, una non abhorrens a statu naturaque statunatunaturaquae A : corr. Peyron rerum, Arinis uxorem paelicatus dolore concitatam, cum audisset Arinem cum illa sua sua sua amica Müller ( sea cf. Phil. ii. 69) metus et fugae simulatione Romam se contulisse, ut, cum antea consuetudo inter eos fuisset, tum etiam nuptiis iungerentur, arsisse dolore muliebri et mori quam id perpeti maluisse. 
10	altera non minus veri similis et, ut opinor, in Sardinia magis etiam credita, Arinem istum testem atque hospitem, Triari, tuum proficiscentem Romam negotium dedisse liberto ut illi aniculae non ille quidem vim adferret—neque enim erat rectum patronae—sed collum digitulis duobus oblideret, resticula cingeret, ut illa perisse suspendio putaretur. 
11	quae quidem suspicio valuit etiam plus ob hanc causam quod, cum agerent parentalia Norenses omnesque omnesqui A : corr. Heinrich suo more ex oppido exissent, tum illa est a liberto suspendisse se dicta. discessus autem solitudo ei qui patronam suffocabat fuit quaerenda, illi quae volebat mori non fuit. 
12	confirmata vero suspicio est, quod anu mortua libertus statim tamquam opere confecto Romam est profectus, Aris autem, simul ac libertus de morte uxoris nuntiavit, continuo Romae matrem illam Bostaris duxit uxorem. 
13	en en Schütz : em ( ita mox ) A : hem Mai quibus familiis quam foedis, quam contaminatis, quam turpibus datis dedatis Heinrich hanc familiam, iudices. en quibus testibus commoti, de quo commoti. De quo Müller homine, de quo de quo homine del. Francken genere, de quo nomine nomine homine Francken sententias feratis, obliviscendum feratis, obliv. Francken : feratis. Obliv. priores vobis putatis? matrum in liberos, virorum in uxores scelera cernitis, crudelitate mixtas libidines videtis immanis; duorum maximorum criminum auctores, quibus criminibus haec tota apud ignaros aut invidos infamata famata A : corr. Schüts causa est, omni facinore et flagitio deformatos habetis. 
14	num igitur in his criminibus, iudices, residet residet iam Mai : resitetiam A : resident etiam Heinrich etiam aliqua suspicio? non perpurgata sunt, non refutata, non fracta? qui igitur id factum est? quia dedisti mihi, Triari, quod diluerem, in quo argumentarer, de quo disputarem; quia genus eius modi fuit criminum quod non totum penderet ex teste, sed quod ponderaret iudex ipse per sese sese scripsi ( clausulae gratia ): se A . 
15	neque vero, iudices, quicquam aliud in ignoto teste facere debemus nisi ut argumento, coniectura, suspicione rerum ipsarum vim naturamque quaeramus. etenim testis non modo afer aut Sardus sane, si ita se isti malunt nominari, sed quivis etiam elegantior ac religiosior impelli, deterreri, fingi, flecti potest; dominus est ipse voluntatis suae, in quo est impunita men tien di licen t i a men ... di licen. i. A : suppl. Heinrich . 
16	argumentum vero, quod quidem est quod quidem est Heinrich : quoquedeest A proprium rei—neque enim ullum aliud argumentum vere vocari potest—rerum rerum quod rerum Kayser vox est, naturae vestigium, veritatis nota; id qualecumque est, maneat immutabile necesse est; non enim fingitur ab oratore, sed sumitur. qua re, in eo genere accusationis si vincerer, succumberem et cederem; vincerer enim enim Madvig : omni A re, vincerer causa, vincerer veritate. 
17	agmen tu mihi inducas Sardorum et catervas et me non criminibus urgere, sed Afrorum fremitu terrere conere? non potero equidem disputare, sed ad horum fidem et mansuetudinem con fug ere, a d ius iu randum iudicum, ad populi Romani aeq uitatem con ... re. dus. u ... PR ... uitatem A ( Peyron ): suppl. Beier , qui hanc familiam in hac urbe principem voluit esse, deorum immortalium numen implorare potero, qui semper exstiterunt huic generi nominique fautores. 
18	poposcit , imperavit, eripuit, coegit. si doces docet A : corr. nescio quis apud Orelli tabulis, quoniam habet seriem quandam et ordinem contracti negoti confectio ipsa tabularum, attendam acriter et quid in defendendo mihi agendum sit videbo. si denique nitere testibus nitere testibus T : ... usn ... re A non dico bonis viris ac probatis, noti sint modo, quem ad modum mihi cum quoque sit confligendum sit conflig. T : conflig. sit A considerabo. 
19	sin unus color, una vox, una natio est omnium testium, si, quod ei dicunt, non modo nullis argumentis sed ne litterarum quidem aliquo genere aut publicarum aut privatarum, quod tamen ipsum fingi potest, confirmare conantur, quo me vertam, iudices, aut quid agam? Cum singulis disputem? quid? non habuisti quod dares. habuisse se sqq. interpunxit Francken dicet. quis id sciet scit Beier , quis iudicabit iudicabit T : id iudicavit A : indicavit Beier ? non fuisse causam. finget fuisse. qui refellemus? potuisse non dare, si si T : se A noluisset. vi ereptum esse dicet. quae potest eloquentia disputando ignoti hominis impudentiam confutare? 
