1	Achillem Aristarchi mihi commentari lubet:
2	inde míhi principium capiam, ex ea tragoedia.
3	sileteque et tacete atque animum advortite,
4	audire iúbet vos imperator histricus,
5	bonoque ut animo sedeate in subselliis,
6	et qui esurientes et qui saturi venerint:
7	qui edistis, multo fecistis sapientius,
8	qui non edistis, saturi fite fabulis;
9	nam cui paratumst quod edit, nostra gratia
10	nimia est stultitia sessum impransum incedere.
11	exsurge, praeco, fac populo audientiam;
12	iam dudum exspecto, si tuom officium scias:
13	exerce vocem, quam per vivisque et † colis.
14	nam nisi clamabis, tacitum te obrepet fames.
15	age nunc reside, duplicem ut mercedem feras.
15a	
16	bonum factum esse, edicta ut servetis mea.
17	scortum exoletum ne quis in proscaenio
18	sedeat, neu lictor verbum aut virgae muttiant,
19	neu dissignator praeter os obambulet
20	neu sessum ducat, dum histrio in scaena siet.
21	diu quí domi otiosi dormierunt, decet
22	animo aequo nunc stent, vel dormire temperent.
23	servi ne obsideant, liberis ut sit locus,
24	vel aes pro capite dent; si id facere non queunt,
25	domum abeant, vitent ancipiti infortunio,
26	ne et hic varientur virgis et loris domi,
27	si minus curassint, quóm eri reveniant domum.
28	nutrices pueros infantis minutulos
29	domi ut procurent neu quae spectatum adferat,
30	ne et ipsae sitiant et pueri pereant fame
31	neve esurientes hic quasi haedi obvagiant.
32	matronae tacitae spectent, tacitae rideant,
33	canora hic voce sua tinnire temperent,
34	domum sermones fabulandi conferant,
35	ne et hic viris sint et domi molestiae.
36	quodque ad ludorum curatores attinet,
37	ne palma detur quoiquam artifici iniuria
38	neve ambitionis causa extrudantur foras,
39	quo deteriores anteponantur bonis.
40	et hoc quoque etiam, quod paene oblitus fui:
41	dum ludi fiunt, in popinam, pedisequi,
42	inruptionem facite; nunc dum occasio est,
43	nunc dum scriblitae aéstuant, occurrite.
44	haec quae imperata sunt pro imperio hístrico,
45	bonum hercle factum pro se quisque ut meminerit.
46	ad argumentum nunc vicissatim volo
47	remigrare, ut aeque mecum sitis gnarures.
48	eius núnc regiones, limites, confinia
49	determinabo: ei rei ego finitor factus sum.
50	sed nisi molestumst, nomen dare vobis volo
51	comoediai; sin odiost, dicam tamen,
52	siquidém licebit pér illos quibus est in manu.
53	Carchedonius vocatur haec comoedia,
53a	
54	latine Plautus patruus pultiphagonides.
55	nomen iam habetis. nunc rationes ceteras
56	accipite; nam argumentum hoc hic censebitur:
57	locus argumentost suom sibi proscaenium,
58	vos iuratores estis. quaeso, operam date.
59	Carthaginienses fratres patrueles duo
60	fuere, summo genere et summis ditiis;
61	eorum álter vivit, alter est emortuos.
62	propterea apud vos dico confidentius,
63	quia mihi pollictor dixit qui eum pollinxerat.
64	sed illí seni qui mortuost, ei filius,
65	unicus qui fuerat, ab divitiis a patre
66	puer séptuennis surripitur Carthagine,
67	sexennio prius quidem quam moritur pater.
68	quoniam periisse sibi videt gnatum unicum,
69	conicitur ipse in morbum ex aegritudine:
70	facit illum heredem fratrem patruelem suom,
71	ipse abit ad Acheruntem sine viatico.
72	ille quí surripuit puerum Calydonem avehit,
73	vendit eum domino hic diviti quoidam seni,
74	cupienti liberorum, osori mulierum.
75	emit hospitalem is filium imprudens senex
76	puerum illum eumque adoptat sibi pro filio
77	eumque heredem fecit, quom ipse obiit diem.
78	is illíc adulescens habitat in illisce aedibus.
79	revertor rursus denuo Carthaginem:
80	si quid mandare voltis aut curarier,
81	argentum nisi qui dederit, nugas egerit;
82	verum qui dederit, magis maiores nugas egerit.
83	sed illi patruo húius, qui vivit senex,
84	Carthaginiensi duae fuere filiae,
85	altera quinquennis, altera quadrimula:
86	cum nutrice una periere a Magaribus.
87	eas quí surripuit, in Anactorium devehit,
88	vendit eas omnis, et nutricem et virgines,
89	praesenti argento hómini, si leno est homo,
90	quantum hominum terra sustinet sacerrumo.
91	vosmet nunc facite coniecturam ceterum,
92	quid id sit hominis, cui Lyco nomen siet.
93	is ex Anactorio, ubi prius habitaverat,
94	huc commigravit in Calydonem haú diu,
95	sui quaésti causa. is in illis habitat aedibus.
96	earum híc adulescens alteram efflictim perit,
97	suam síbi cognatam, imprudens, neque scit quae siet
98	neque eam umquam tetigit, ita eum leno macerat:
99	neque quicquam cúm ea fecit etiamnum stupri
100	neque duxit umquam, neque ille voluit mittere
101	quia amare cernit, tangere hominem volt bolo.
102	illam minorem in concubinatum sibi
103	volt emere miles quidam, qui illam deperit.
104	sed pater illarum Poenus, postquam eas perdidit,
105	mari te rraque úsquequaque quaeritat.
106	ubi quamque in urbem ést ingressus, ilico
107	omnes meretrices, ubi quisque habitant, invenit;
108	dat aurum, ducit noctem, rogitat postibi
109	unde sít, quoiatis, captane an surrupta sit,
110	quo genere gnata, qui parentes fuerint.
111	ita docte atque astu filias quaerit suas.
112	et is omnis linguas scit, sed dissimulat sciens
113	se scire: Poenus plane est. quid verbis opust?
114	is heri huc in portum navi venit vesperi,
115	pater harunc; idem huic patruos adulescentulo est:
116	iamne hoc tenetis? si tenetis, ducite;
117	cave dírumpatis, quaeso, sinite transigi.
118	ehem, paéne oblitus sum relicuom dicere.
119	ille quí adoptavit hunc sibi pro filio,
120	is illi Poeno húius patruo hospes fuit.
121	is hodie huc veniet reperietque hic filias
122	et hunc sui fratris filium, ut quidem dídici ego.
123	ego ibo, ornabor; vos aequo animo noscite.
124	hic qui hodie veniet, reperiet suas filias
125	et hunc sui fratris filium. dehinc ceterum
126	valete, adeste. ibo, alius nunc fieri volo:
127	quod restat, restant alii qui faciant palam.
128	valete atque adiuvate, ut vos servet Salus.
129	Saepe ego res multas tibi mandavi, Milphio,
130	dubias, egenas, inopiosas consili,
131	quas tu sapienter, docte et cordate et cate
132	mihi reddidisti ópiparas opera tua.
133	quibus pró bene factis fateor deberi tibi
134	et libertatem et multas grates gratias.
135	Scitumst, per tempus si obviamst, verbum vetus.
136	nam tuae blanditiae mihi sunt, quod dici solet,
137	gerrae germanae, σαὶ δὲ κολλῦραι λύραι .
138	nunc mihi blandidicus es: heri in tergo meo
139	tris facile corios contrivisti bubulos.
140	Amans per amorem si quid feci, Milphio,
141	ignoscere id te mi aequom est.
141b	Haud vidi magis.
142	em, nunc ego amore pereo. sine te verberem,
143	item ut tu mihi fecisti, ob nullam noxiam:
144	post id locorum tu mihi amanti ignoscito.
145	Si tibi lubido est aut voluptati, sino:
146	suspende, vinci, verbera; auctor sum, sino.
